Brand,Model,Variant,Manufacturing_Year,Driven_Kilometer,Fuel,Number of Owner,Location,Price
Maruti,NEXON,XZ+ OPT PETROL ,2020,5825,Petrol,1,Mumbai,972499
Maruti,HECTOR,SHARP DCT PETROL ,2020,58207,Petrol,1,Mumbai,1601799
Honda,HECTOR,SHARP DCT PETROL ,2019,18718,Petrol,1,Mumbai,1757799
Honda,i20,1.2 ASTA (O) CVT ,2019,33807,Petrol,1,Mumbai,765099
Audi,PRESSO,VXI PLUS ,2020,2679,Petrol,1,Mumbai,462199
Maruti,Jazz,1.2 V AT ,2017,13755,Petrol,1,Mumbai,669299
Ford,i20,1.2 ASTA (O) CVT ,2019,25751,Petrol,1,Mumbai,788899
Maruti,WR-V,1.2 i-VTEC VX MT ,2021,7714,Petrol,1,Mumbai,1038199
Hyundai,Glanza,G MT PETROL ,2021,11934,Petrol,1,Mumbai,817599
Renault,Jazz,ZX CVT ,2020,25159,Petrol,1,Mumbai,945699
Hyundai,Verna,1.6 SX VTVT AT (O) ,2018,60623,Petrol,1,Mumbai,914499
Maruti,Hexa,Varicor 400 XM ,2018,55252,Diesel,1,Mumbai,1044299
Hyundai,Active,1.2 ,2016,47707,Petrol,1,Mumbai,535199
Toyota,HECTOR,SHARP DCT PETROL ,2019,14509,Petrol,1,Mumbai,1726899
Maruti,Hexa,Varicor 400 XTA ,2018,86392,Diesel,1,Mumbai,1111999
Ford,Wagon R 1.0,VXI ,2017,36224,Petrol,1,Mumbai,432099
Maruti,i10,MAGNA CNG ,2019,44561,CNG,1,Mumbai,536199
Maruti,Glanza,G MT PETROL ,2021,20107,Petrol,1,Mumbai,817599
Maruti,Verna,1.6 SX VTVT AT (O) ,2018,23085,Petrol,1,Mumbai,999099
Hyundai,NEXON,XZA+ 1.5 ,2019,36229,Diesel,1,Mumbai,1129499
Hyundai,Endeavour,3.2l 4X4 AT Titanium ,2017,38385,Diesel,1,Mumbai,2952199
Hyundai,Dzire,VXI ,2018,15343,Petrol,1,Mumbai,704199
Tata,PRESSO,VXI CNG ,2020,16642,CNG,1,Mumbai,505899
Hyundai,ALTROZ,XZ 1.2 ,2020,17798,Petrol,1,Mumbai,788699
Maruti,Rapid,STYLE 1.0 AT ,2021,3417,Petrol,1,Mumbai,1296699
Maruti,i20,Magna Executive 1.2 ,2018,91014,Petrol,1,Mumbai,547799
Maruti,3OO,1.5 W6 MT ,2019,96053,Diesel,1,Mumbai,828799
Hyundai,Baleno,ALPHA 1.2 K12 ,2018,23970,Petrol,1,Mumbai,664599
Tata,Wagon R 1.0,LXI CNG ,2019,15026,CNG,2,Mumbai,488799
Maruti,Baleno,ALPHA 1.2 K12 ,2019,33967,Petrol,2,Mumbai,641799
Maruti,Wagon R 1.0,VXI ,2017,45663,Petrol,1,Mumbai,442699
Hyundai,K10,VXI ,2018,12870,Petrol,1,Mumbai,390199
Mahindra,Ciaz,DELTA 1.5 SHVS VVT MT ,2019,27983,Petrol,1,Mumbai,874399
Maruti,Hexa,Varicor 400 XTA ,2017,53511,Diesel,1,Mumbai,1155099
Maruti,Ciaz,ZETA 1.4 VVT AMT ,2017,31156,Petrol,1,Mumbai,771899
Tata,i10,SPORTZ 1.2 KAPPA VTVT ,2016,33859,Petrol,1,Mumbai,503899
Maruti,Brezza,VDI OPT ,2016,66284,Diesel,1,Mumbai,734599
Hyundai,Superb,1.8 TSI STYLE AT ,2016,50296,Petrol,1,Mumbai,1360139
Maruti,Wagon R 1.0,LXI CNG ,2018,63205,CNG,1,Mumbai,468599
Mahindra,WR-V,1.5 i-DTEC VX MT ,2017,55632,Diesel,1,Mumbai,763199
Hyundai,VENUE,1.0 TURBO GDI SX+ AT ,2021,2869,Petrol,1,Mumbai,1311999
Maruti,Jazz,ZX CVT ,2020,12260,Petrol,1,Mumbai,1025599
Maruti,VENUE,1.0 TURBO GDI SX+ AT ,2021,3398,Petrol,1,Mumbai,1271999
Maruti,Creta,SX PLUS 1.6 DUAL TONE VTVT ,2017,89306,Petrol,1,Mumbai,889799
Hyundai,IGNIS,ZETA 1.2 K12 AMT ,2021,1512,Petrol,1,Mumbai,781299
Hyundai,Creta,1.6 SX PLUS AUTO PETROL ,2017,74784,Petrol,2,Mumbai,991999
Maruti,PRESSO,VXI CNG ,2020,30120,CNG,1,Mumbai,511499
Toyota,Compass,2.0 LONGITUDE ,2017,29217,Diesel,1,Mumbai,1197999
Maruti,Wagon R 1.0,LXI CNG ,2017,47758,CNG,1,Mumbai,450999
Maruti,HECTOR,SHARP 2.0 DIESEL ,2019,42023,Diesel,1,Mumbai,1485499
Maruti,HECTOR,SHARP DCT PETROL ,2019,33745,Petrol,2,Mumbai,1618499
Hyundai,Hexa,Varicor 400 XTA ,2017,60953,Diesel,2,Mumbai,1103499
Maruti,Brezza,ZDI ,2019,74108,Diesel,1,Mumbai,922099
BMW,Rapid,STYLE 1.0 AT ,2021,7323,Petrol,1,Mumbai,1328199
Maruti,Dzire,ZXI Plus AMT ,2020,11919,Petrol,1,Mumbai,882199
Hyundai,Ecosport,1.5 TITANIUM TI VCT AT ,2017,34717,Petrol,2,Mumbai,688099
Hyundai,Ecosport,1.5 TITANIUM TI VCT ,2017,32346,Petrol,1,Mumbai,736299
Ford,Wagon R 1.0,LXI CNG ,2019,57846,CNG,1,Mumbai,488599
Hyundai,City,ZX CVT ,2018,33636,Petrol,1,Mumbai,1051799
Hyundai,Creta,1.6 CRDI SX PLUS AUTO ,2018,66209,Diesel,1,Mumbai,1163899
Tata,PRESSO,VXI PLUS ,2021,700,Petrol,1,Mumbai,478199
Ford,Compass,2.0 LONGITUDE (O) ,2017,24625,Diesel,1,Mumbai,1284099
Maruti,VENUE,1.0 TURBO GDI SX+ AT ,2020,10048,Petrol,1,Mumbai,1175799
Hyundai,Etios,V ,2017,73919,Petrol,1,Mumbai,525099
Maruti,Compass,2.0 LONGITUDE (O) ,2017,88775,Diesel,1,Mumbai,1188099
Renault,Wagon R 1.0,LXI CNG ,2017,10728,CNG,1,Mumbai,496899
Ford,K10,VXI AMT ,2019,11466,Petrol,1,Mumbai,482099
Maruti,MARAZZO,M8 7 STR ,2018,23446,Diesel,1,Mumbai,1031799
Maruti,Dzire,ZXI Plus AMT ,2020,7295,Petrol,1,Mumbai,913599
Maruti,Wagon R 1.0,LXI CNG ,2018,22300,CNG,1,Mumbai,483499
Hyundai,IGNIS,DELTA 1.2 K12 AMT ,2017,6390,Petrol,2,Mumbai,524099
Maruti,HECTOR,SHARP DCT PETROL ,2019,50821,Petrol,1,Mumbai,1621499
Tata,Dzire,ZDI ,2018,52745,Diesel,1,Mumbai,771099
Maruti,City,VX MT PETROL ,2017,36320,Petrol,1,Mumbai,830999
Hyundai,Aspire,1.5 TREND DIESEL ,2018,48553,Diesel,1,Mumbai,545999
Maruti,WR-V,1.2 i-VTEC VX MT ,2017,46374,Petrol,1,Mumbai,711299
Maruti,IGNIS,ALPHA 1.2 K12 AMT ,2021,3432,Petrol,1,Mumbai,865399
Tata,Verna,1.6 SX (O) CRDI MT ,2017,53796,Diesel,1,Mumbai,1036199
Toyota,Hexa,Varicor 400 XM ,2019,52103,Diesel,1,Mumbai,1372199
Maruti,VENUE,1.0 TURBO GDI SX+ AT ,2021,5065,Petrol,1,Mumbai,1264999
Maruti,Hexa,Varicor 400 XT ,2018,90156,Diesel,1,Mumbai,997699
Maruti,Wagon R 1.0,VXI ,2014,63921,Petrol,1,Mumbai,374999
Maruti,Ecosport,1.5 TITANIUM TI VCT ,2018,17181,Petrol,1,Mumbai,748299
Maruti,Ecosport,1.5 TITANIUM TI VCT AT ,2017,53165,Petrol,2,Mumbai,716999
Toyota,Creta,1.6 VTVT SX AUTO ,2018,34004,Petrol,2,Mumbai,1129399
Maruti,Compass,2.0 LONGITUDE (O) ,2017,68267,Diesel,1,Mumbai,1182899
Tata,Rapid,1.0 AMBITION TSI AT ,2020,27690,Petrol,1,Mumbai,1097199
Skoda,IGNIS,DELTA 1.2 K12 AMT ,2017,9228,Petrol,1,Mumbai,550999
Honda,Ameo,HIGHLINE PLUS 1.5 ,2018,83244,Diesel,1,Mumbai,584749
Hyundai,Creta,1.6 SX PLUS AUTO PETROL ,2018,16385,Petrol,2,Mumbai,1114199
Maruti,City,ZX CVT ,2017,33580,Petrol,2,Mumbai,887699
Maruti,HECTOR,SHARP 2.0 DIESEL ,2019,73842,Diesel,1,Mumbai,1556199
Hyundai,HECTOR,SHARP DCT PETROL ,2020,39173,Petrol,1,Mumbai,1726099
Mahindra,Creta,1.6 SX CRDI ,2015,110748,Diesel,1,Mumbai,803699
Maruti,Creta,1.6 SX PLUS AUTO PETROL ,2017,64762,Petrol,1,Mumbai,1090899
Maruti,Compass,LIMITED 1.4 AT ,2018,36590,Petrol,1,Mumbai,1437199
Maruti,SELTOS,1.4 GTX+ TURBO GDI PETROL AT ,2020,35136,Petrol,1,Mumbai,1653999
Ford,Ciaz,ALPHA 1.4 VVT ,2018,15372,Petrol,1,Mumbai,771599
Maruti,Ciaz,ALPHA 1.4 VVT ,2018,27424,Petrol,1,Mumbai,787599
Maruti,Cross,ZETA 1.3 ,2015,67134,Diesel,1,Mumbai,628999
Mahindra,Compass,LIMITED (O) 2.0 4*4 ,2017,78452,Diesel,1,Mumbai,1319999
Maruti,Baleno,ZETA 1.2 K12 AMT ,2018,47214,Petrol,1,Mumbai,697399
Maruti,IGNIS,ZETA 1.2 K12 ,2019,8473,Petrol,1,Mumbai,568999
Hyundai,Creta,1.6 SX PLUS AUTO PETROL ,2018,31178,Petrol,1,Mumbai,1232399
Hyundai,IGNIS,ZETA 1.2 K12 AMT ,2021,7904,Petrol,1,Mumbai,781299
Maruti,Cross,ZETA SHVS ,2019,24639,Diesel,1,Mumbai,1018499
Maruti,Xylo,D4 BS IV ,2015,72917,Diesel,1,Mumbai,456199
Ford,Cross,SIGMA 1.3 ,2017,86650,Diesel,1,Mumbai,697299
Ford,Creta,1.6 CRDI SX PLUS AUTO ,2017,86892,Diesel,1,Mumbai,1131099
Audi,Verna,1.6 SX VTVT AT (O) ,2018,24364,Petrol,2,Mumbai,1017399
Maruti,SELTOS,GTX 1.4 GDI AT PETROL ,2020,13972,Petrol,1,Mumbai,1682799
Maruti,Active,1.4 SX ,2015,143498,Diesel,1,Mumbai,566899
Ford,Compass,2.0 LONGITUDE (O) ,2017,50586,Diesel,1,Mumbai,1147049
Hyundai,Ecosport,1.5 TITANIUM PLUS TI VCT AT ,2018,41378,Petrol,1,Mumbai,738799
Maruti,City,ZX CVT ,2018,10485,Petrol,1,Mumbai,1069499
Maruti,IGNIS,ZETA 1.2 K12 AMT ,2019,25641,Petrol,1,Mumbai,603599
Maruti,City,VX MT PETROL ,2017,27606,Petrol,1,Mumbai,825399
Maruti,Creta,1.6 VTVT SX AUTO ,2018,44796,Petrol,2,Mumbai,1145699
Ford,PRESSO,VXI PLUS ,2019,61557,Petrol,1,Mumbai,393799
Maruti,NEXON,XZ+ 1.2 DUAL TONE ,2018,38555,Petrol,1,Mumbai,768099
Renault,Compass,2.0 LONGITUDE ,2017,62984,Diesel,1,Mumbai,1188599
Maruti,Verna,1.6 SX VTVT AT (O) ,2018,40438,Petrol,1,Mumbai,1031799
Toyota,Verna,1.6 SX VTVT AT (O) ,2018,29318,Petrol,1,Mumbai,1065499
Maruti,HECTOR,SHARP DCT PETROL ,2020,3575,Petrol,1,Mumbai,1922999
Maruti,IGNIS,ZETA 1.2 K12 AMT ,2017,30295,Petrol,1,Mumbai,553899
Maruti,City,VX CVT PETROL ,2017,69549,Petrol,1,Mumbai,793599
Maruti,Glanza,G MT PETROL ,2019,65666,Petrol,1,Mumbai,668299
Maruti,WR-V,1.2 i-VTEC VX MT ,2018,15522,Petrol,1,Mumbai,790699
Mahindra,Amaze,1.2 V CVT I VTEC ,2018,67116,Petrol,1,Mumbai,719999
Maruti,Compass,LIMITED O 1.4 AT ,2018,75430,Petrol,1,Mumbai,1493899
Maruti,Cross,DELTA 1.3 ,2017,104007,Diesel,1,Mumbai,620499
Maruti,SELTOS,1.4 GTX+ TURBO GDI PETROL AT ,2020,26655,Petrol,1,Mumbai,1799799
Maruti,City,ZX CVT ,2017,55892,Petrol,2,Mumbai,842399
Maruti,WR-V,1.2 i-VTEC VX MT ,2018,57922,Petrol,1,Mumbai,733299
Audi,SELTOS,1.4 GTX+ TURBO GDI PETROL AT ,2020,6499,Petrol,1,Mumbai,1911299
Maruti,SELTOS,1.4 GTX+ TURBO GDI PETROL AT ,2020,11214,Petrol,1,Mumbai,1798199
Maruti,Zest,XT RT ,2017,39609,Petrol,1,Mumbai,452699
Maruti,Civic,ZX CVT PETROL ,2020,47157,Petrol,1,Mumbai,1936299
Hyundai,YARIS,VX CVT,2018,21278,Petrol,1,Mumbai,1070599
Maruti,Verna,1.6 SX VTVT AT (O) ,2018,47188,Petrol,1,Mumbai,1060999
Mahindra,SELTOS,1.4 GTX+ TURBO GDI PETROL AT ,2020,12353,Petrol,1,Mumbai,1800499
Maruti,WR-V,1.5 i-DTEC VX MT ,2018,66931,Diesel,1,Mumbai,811799
Maruti,Glanza,G CVT ,2019,44506,Petrol,1,Mumbai,696499
Hyundai,Compass,1.4 LIMITED PLUS AT ,2019,25869,Petrol,1,Mumbai,1808299
Audi,YARIS,VX CVT ,2018,79348,Petrol,1,Mumbai,962799
Maruti,New,2WD AT GL DIESEL ,2018,11345,Diesel,1,Mumbai,1999499
Audi,Altis,1.8 G ,2011,122639,CNG,2,Mumbai,385599
Maruti,i10,SPORTS 1.2 VTVT ,2014,43841,Petrol,2,Mumbai,354499
Maruti,Baleno,DELTA 1.2 K12 ,2016,11510,Petrol,2,Mumbai,506399
Maruti,Ertiga,ZXI SMART HYBRID AT ,2019,27888,Petrol,1,Mumbai,1033399
Ford,Ertiga,ZXI SMART HYBRID AT ,2019,46059,Petrol,1,Mumbai,1043599
Maruti,Dzire,VDI BS IV ,2012,50727,Diesel,1,Mumbai,441299
Audi,Kwid,RXT Opt ,2016,66112,Petrol,2,Mumbai,280599
Maruti,Amaze,1.2 SAT I VTEC ,2014,33646,Petrol,1,Mumbai,460199
Maruti,Wagon R 1.0,LXI ,2014,23786,Petrol,1,Mumbai,336699
Maruti,Ertiga,VDI ABS ,2015,39121,Diesel,1,Mumbai,681799
Renault,Swift,VXI ,2018,29822,Petrol,2,Mumbai,562799
Audi,Ciaz,ZXI ,2015,48119,Petrol,1,Mumbai,563399
Honda,Celerio,VXI CNG ,2015,97080,CNG,2,Mumbai,401599
Maruti,Ciaz,ZDI+ ,2015,103637,Diesel,1,Mumbai,584199
Maruti,Wagon R 1.0,LXI CNG ,2018,63568,CNG,1,Mumbai,447999
Maruti,Terrano,XL PLUS 85 PS DEISEL ,2016,134145,Diesel,1,Mumbai,579299
Ford,Ertiga,VXI SMART HYBRID ,2020,19946,Petrol,2,Bengaluru,1018599
Maruti,R,LXI ,2009,47553,Petrol,2,Bengaluru,244999
Hyundai,i10,MAGNA 1.2 ,2010,39564,Petrol,2,Bengaluru,286199
Maruti,SONET,GTX PLUS 1.5D AT DUAL TONE,2022,3556,Diesel,1,Bengaluru,1640299
Mahindra,Ritz,ZXI ,2010,46595,Petrol,2,Bengaluru,364999
Maruti,Ertiga,ZXI SMART HYBRID ,2020,17115,Petrol,1,Bengaluru,1175599
Maruti,Ritz,VXI ,2010,32553,Petrol,1,Bengaluru,347999
Hyundai,i10,SPORTZ 1.2 KAPPA2 ,2011,30874,Petrol,3,Bengaluru,317699
Honda,SELTOS,1.5 GTX+ AT ,2020,10427,Diesel,1,Bengaluru,1859599
Hyundai,Ertiga,ZDI PLUS SHVS ,2018,34083,Diesel,1,Bengaluru,1101499
Ford,Eon,D LITE PLUS ,2013,12813,Petrol,1,Bengaluru,274899
Maruti,Ertiga,LDI ABS ,2012,59031,Diesel,2,Bengaluru,611999
Audi,Swift,ZXI ,2011,59791,Petrol,2,Bengaluru,473099
Maruti,Kiger,RXZ 1.0 MT,2021,1462,Petrol,1,Bengaluru,1024199
Ford,Ritz,ZXI ,2010,64372,Petrol,1,Bengaluru,385999
Maruti,i10,SPORTZ 1.2 KAPPA2 ,2011,50828,Petrol,3,Bengaluru,311699
Audi,Tiago,XZ+ 1.2 Revotron ,2021,14194,Petrol,1,Bengaluru,721099
Ford,Swift,ZXI ,2020,8830,Petrol,1,Bengaluru,860699
Audi,AURA,SX (O) MT,2022,2903,Petrol,1,Bengaluru,874299
Maruti,Brezza,VXI ,2021,3171,Petrol,1,Bengaluru,980699
Hyundai,XUV500,W11 (O) AT ,2018,26576,Diesel,2,Bengaluru,1849699
Maruti,i20,MAGNA O 1.2 ,2010,75325,Petrol,1,Bengaluru,352499
Mahindra,Swift,ZXI AMT ,2020,15386,Petrol,2,Bengaluru,809499
Hyundai,Dzire,VXI ,2016,42534,Petrol,2,Bengaluru,581599
Maruti,Nano,XT TWIST ,2016,5403,Petrol,1,Bengaluru,239999
Maruti,Swift,VXI ,2012,70267,Petrol,3,Bengaluru,428699
Maruti,Wagon R 1.0,VXI ,2014,28171,Petrol,1,Bengaluru,409499
Honda,Swift,ZXI ,2012,51481,Petrol,1,Bengaluru,504999
Mercedes,Swift,VXI ,2012,76615,Petrol,2,Bengaluru,459799
Maruti,Tiago,XZ 1.2 REVOTRON ,2019,14648,Petrol,1,Bengaluru,595799
Maruti,City,V MT PETROL ,2020,14825,Petrol,1,Bengaluru,1101149
Maruti,i20,1.2 SPORTS PLUS VTVT CVT ,2019,3268,Petrol,1,Bengaluru,932349
Maruti,Polo,Trendline 1.0 L Petrol ,2018,34828,Petrol,1,Bengaluru,612899
Maruti,Kiger,RXZ 1.0 AT DUAL TONE,2021,7972,Petrol,1,Bengaluru,988199
Ford,i10,SPORTZ 1.2 AT KAPPA2 ,2011,77852,Petrol,1,Bengaluru,345899
Maruti,Swift,ZXI + AMT ,2020,24093,Petrol,1,Bengaluru,888599
Maruti,Dzire,ZDI ,2014,97853,Diesel,1,Bengaluru,626199
Maruti,Swift,VDI ,2012,78175,Diesel,1,Bengaluru,489199
Maruti,Kiger,RXZ 1.0 TURBO MT,2021,4647,Petrol,1,Bengaluru,1006799
Maruti,XUV500,W10 AT ,2018,75852,Diesel,2,Bengaluru,1650499
Ford,Swift,VDI ,2014,41795,Diesel,1,Bengaluru,567799
Maruti,CRUISER,PREMIUM MT,2021,4126,Petrol,2,Bengaluru,1107899
BMW,Ritz,VDI ,2012,93102,Diesel,1,Bengaluru,401899
Maruti,i20,MAGNA O 1.2 ,2011,61954,Petrol,2,Bengaluru,369299
Maruti,Swift,ZXI ,2021,9511,Petrol,1,Bengaluru,838799
Audi,Brezza,VXI ,2022,3771,Petrol,1,Bengaluru,980699
Maruti,NEXON,XZA + 1.2 PETROL A/T ,2019,20099,Petrol,1,Bengaluru,1071599
Maruti,SELTOS,GTX 1.4 GDI PETROL ,2021,4317,Petrol,1,Bengaluru,1790999
Hyundai,PLUS,Style 7Str Petrol,2021,9453,Petrol,1,Bengaluru,1466099
Ford,Star,VXI ABS AT ,2012,40936,Petrol,3,Bengaluru,320149
Renault,Swift,ZXI+ ,2020,13366,Petrol,2,Bengaluru,794699
Ford,Estilo,VXI ,2010,52195,Petrol,1,Bengaluru,243299
Toyota,Brio,1.2 S MT I VTEC ,2012,55630,Petrol,1,Bengaluru,370199
Maruti,Alto,LXI ,2010,70015,Petrol,2,Bengaluru,222299
Maruti,Dzire,VXI ,2014,51092,Petrol,2,Bengaluru,538399
Maruti,SELTOS,HTX+ AT 1.5 DIESEL ,2019,23995,Diesel,1,Bengaluru,1727299
Maruti,Star,VXI ABS AT ,2013,34742,Petrol,2,Bengaluru,341499
Hyundai,Creta,E ,2020,31855,Diesel,1,Bengaluru,1282899
Maruti,New,2WD AT GLS DIESEL ,2017,65387,Diesel,1,Bengaluru,1789099
Maruti,Creta,1.4 SX(O) TURBO GDI DCT ,2021,1408,Petrol,1,Bengaluru,2071099
Maruti,XUV500,W11 (O) AT ,2020,21834,Diesel,1,Bengaluru,1990599
Maruti,SELTOS,HTK PLUS 1.5 DIESEL ,2020,25961,Diesel,1,Bengaluru,1497699
Maruti,i10,MAGNA 1.1 IRDE2 ,2015,27578,Petrol,2,Bengaluru,385999
Maruti,Duster,RXS CVT 106 PS ,2018,35115,Petrol,1,Bengaluru,985299
Maruti,Swift,VDI ABS ,2017,31806,Diesel,1,Bengaluru,652399
Hyundai,HECTOR,SMART DIESEL ,2019,49686,Diesel,2,Bengaluru,1413999
Maruti,Creta,1.6 SX (O) CRDI ,2018,41010,Diesel,1,Bengaluru,1511999
Maruti,K10,VXI ,2011,74485,Petrol,2,Bengaluru,239999
Maruti,Dzire,VDI ,2013,87484,Diesel,1,Bengaluru,491799
Maruti,Amaze,1.2 VX CVT I VTEC ,2019,20481,Petrol,2,Bengaluru,815599
Maruti,Swift,ZDI ,2017,84582,Diesel,2,Bengaluru,644599
Ford,i20,1.2 SPORTS PLUS VTVT ,2020,22005,Petrol,2,Bengaluru,773899
Ford,i20,ASTA 1.2 ,2012,74189,Petrol,3,Bengaluru,434499
Ford,Ertiga,ZXI ,2014,72295,Petrol,2,Bengaluru,655599
Maruti,i20,SPORTZ 1.2 VTVT ,2012,81866,Petrol,1,Bengaluru,446099
Maruti,Swift,ZDI ,2014,31647,Diesel,1,Bengaluru,644299
Maruti,XUV500,W8 FWD AT ,2016,51461,Diesel,2,Bengaluru,1276849
Renault,Star,VXI ABS AT ,2012,25337,Petrol,1,Bengaluru,356199
Maruti,Ecosport,1.5TITANIUM TDCI ,2014,67830,Diesel,1,Bengaluru,643299
Hyundai,SELTOS,HTX 1.5 PETROL MT ,2020,16588,Petrol,1,Bengaluru,1493199
Hyundai,Duster,RXZ ,2021,4897,Petrol,1,Bengaluru,1214399
Ford,XUV500,W6 4X2 ,2017,51367,Diesel,2,Bengaluru,1099999
Maruti,VENUE,S MT 1.2 KAPPA ,2020,46832,Petrol,1,Bengaluru,874599
Maruti,Alto,LXI ,2011,72191,Petrol,1,Bengaluru,239999
Maruti,Kwid,CLIMBER 1.0 ,2017,8429,Petrol,2,Bengaluru,406699
Maruti,Pulse,RX Z DIESEL ,2014,77064,Diesel,2,Bengaluru,399999
Toyota,Brio,1.2 S MT I VTEC ,2012,46039,Petrol,1,Bengaluru,365099
Ford,Dzire,VXI OPT ,2016,71722,Petrol,1,Bengaluru,567099
Maruti,Duster,RXL PLUS DIESEL 85 ,2014,77862,Diesel,1,Bengaluru,702799
Maruti,Dzire,ZDI AMT ,2019,66740,Diesel,1,Bengaluru,778199
Maruti,SANTRO,ASTA 1.1 MT ,2018,8340,Petrol,1,Bengaluru,514749
Ford,Swift,ZXI ,2015,35592,Petrol,2,Bengaluru,593699
Maruti,Duster,RXS 85 PS ,2019,22797,Diesel,1,Bengaluru,1071799
Toyota,Creta,1.6 CRDI SX PLUS AUTO ,2017,44335,Diesel,1,Bengaluru,1329899
Mahindra,XUV500,W8 FWD ,2017,51299,Diesel,1,Bengaluru,1321199
Datsun,SELTOS,HTX 1.5 PETROL MT ,2020,13094,Petrol,1,Bengaluru,1493199
Maruti,Creta,1.6 SX (O) CRDI ,2018,63569,Diesel,1,Bengaluru,1491999
Maruti,XUV500,W10 AT FWD ,2017,68611,Diesel,2,Bengaluru,1457999
Datsun,Brezza,ZDI+ DUAL TONE AMT ,2018,61606,Diesel,1,Bengaluru,1103199
Maruti,Kiger,RXZ 1.0 MT,2021,8200,Petrol,1,Bengaluru,1024199
Maruti,i10,SPORTZ 1.2 KAPPA2 ,2012,76400,Petrol,2,Bengaluru,322999
Maruti,Swift,ZXI ,2014,10220,Petrol,1,Bengaluru,591599
Renault,Brio,1.2 VX AT I VTEC ,2013,27573,Petrol,3,Bengaluru,435999
Maruti,Rapid,ACTIVE 1.0 TSI ,2020,3116,Petrol,1,Bengaluru,981799
Maruti,K10,VXI ,2018,8683,Petrol,2,Bengaluru,379599
Volkswagen,Swift,VDI ,2018,78350,Diesel,1,Bengaluru,656299
Honda,Dzire,ZXI 1.2 BS IV ,2013,84665,Petrol,2,Bengaluru,575199
Maruti,SONET,GTX PLUS DCT 1.0,2020,14949,Petrol,2,Bengaluru,1402999
BMW,i20,ASTA 1.2 ,2014,17298,Petrol,1,Bengaluru,644049
Maruti,3OO,W8 (O) DIESEL AT ,2020,15262,Diesel,1,Bengaluru,1468799
Maruti,i20,MAGNA O 1.2 ,2010,76405,Petrol,2,Bengaluru,349899
Hyundai,Dzire,ZDI ,2013,40294,Diesel,1,Bengaluru,572499
Maruti,Duster,RXZ DIESEL 110 ,2015,80875,Diesel,2,Bengaluru,716299
Maruti,Duster,RXL PLUS DIESEL 85 ,2014,44136,Diesel,1,Bengaluru,718599
Tata,800,LXI OPT ,2013,59672,Petrol,2,Bengaluru,281799
Toyota,800,LXI ,2017,15483,Petrol,2,Bengaluru,321999
Ford,Baleno,ALPHA DDIS 190 ,2019,30921,Diesel,1,Bengaluru,898899
Toyota,Celerio,ZXI OPT AMT ,2019,21005,Petrol,2,Bengaluru,591499
Maruti,SELTOS,HTX+ AT 1.5 DIESEL ,2019,75529,Diesel,1,Bengaluru,1514699
Hyundai,800,LXI ,2014,26419,Petrol,2,Bengaluru,292299
Datsun,Duster,RXS 85 PS ,2019,28435,Diesel,1,Bengaluru,1081399
Maruti,Brio,1.2 VX AT I VTEC ,2013,72709,Petrol,1,Bengaluru,443799
Hyundai,Etios,G ,2011,79273,Petrol,3,Bengaluru,294899
KIA,i20,MAGNA O 1.2 ,2011,65247,Petrol,3,Bengaluru,347099
Maruti,SELTOS,HTX 1.5 DIESEL ,2020,59892,Diesel,1,Bengaluru,1579799
Maruti,Brio,1.2 E MT I VTEC ,2016,22813,Petrol,2,Bengaluru,411899
Tata,Brezza,ZDI ,2017,30559,Diesel,2,Bengaluru,891399
Hyundai,Brezza,ZDI+ DUAL TONE AMT ,2018,40575,Diesel,1,Bengaluru,1123999
Mahindra,Jazz,1.2 S MT ,2016,45508,Petrol,2,Bengaluru,513299
Toyota,Brezza,ZDI ,2016,93425,Diesel,1,Bengaluru,885299
Honda,Swift,ZXI ,2014,40040,Petrol,1,Bengaluru,628599
Renault,Duster,RXZ ,2021,10256,Petrol,2,Bengaluru,1142499
Volkswagen,Amaze,1.2 SMT I VTEC ,2015,36186,Petrol,2,Bengaluru,520199
Maruti,Brezza,ZDI ,2016,67864,Diesel,3,Bengaluru,845799
Renault,HECTOR,SHARP 2.0 DIESEL ,2019,21063,Diesel,1,Bengaluru,1708899
KIA,800,LXI ,2014,70882,Petrol,2,Bengaluru,272499
Renault,i10,ERA 1.1 IRDE ,2013,53517,Petrol,1,Bengaluru,347999
Mercedes,Swift,VXI AMT ,2018,23547,Petrol,2,Bengaluru,714799
Maruti,SANTRO,ASTA 1.1 MT ,2019,6851,Petrol,1,Bengaluru,572999
Mercedes,Brezza,ZDI PLUS DUAL TONE ,2017,27592,Diesel,1,Bengaluru,971849
Tata,VENUE,1.0 TURBO GDI SX+ AT ,2019,18646,Petrol,1,Bengaluru,1247599
Maruti,Ciaz,ZXI AMT ,2014,44997,Petrol,2,Bengaluru,715299
Skoda,i10,SPORTZ 1.2 AT KAPPA2 ,2013,42649,Petrol,1,Bengaluru,409399
Tata,i10,ERA 1.1 IRDE ,2013,65294,Petrol,1,Bengaluru,343749
Maruti,Elantra,1.6 SX MT ,2019,25472,Diesel,2,Bengaluru,1529199
Honda,Brio,1.2 S MT I VTEC ,2015,45720,Petrol,1,Bengaluru,470499
Hyundai,NEXON,XMA 1.5 ,2018,17934,Diesel,1,Bengaluru,939199
Maruti,Ritz,LXI ,2010,62308,Petrol,2,Bengaluru,317199
Hyundai,Ritz,VXI ABS ,2010,99646,Petrol,1,Bengaluru,303899
